word	ipa	pageid
ᥐ	/ka/	5655517
ᥑ	/xa/	5674307
ᥒ	/ŋa/	5674308
ᥓ	/t͡sa/	5674314
ᥔ	/sa/	5674316
ᥘᥣᥝ	/laːw⁶/	8687859
ᥘᥣᥝᥞᥣᥒᥴ	/laːw⁶ haːŋ¹/	8527155
ᥛᥫᥒᥰ	/məŋ²/	6367044
ᥛᥫᥒᥰᥐᥨᥢᥰ	/məŋ².kon²/	8573643
ᥜᥣᥳ	/faː⁵/	8466482
