word	ipa	pageid
bärg	/bɛre/, /bɛrɡ/, /be̞rɡ/, gmq-bot, /²bɛːre/, /²bɛːrɪ/, /²be̞rɡ/	6242906
bärgän	/²be̞rɡe̞n/	7278639
båhtt	/boʈː/, [b̥ɔ́ʈʰː]	6070762
bålsta	[²b̥oːˌʂʈæː], gmq-bot, [²b̥ɞːɽˌʂʈæː]	7227123
bån	[b̥óːn], [b̥ɑ́ːɳ], [b̥ɒ́ːɳ], [b̥ɑ́ːn]	6067401
båt	/boːt/, /bɒːt/, /bɑːt/	85249
bód	[b̥ɞʈː], [b̥òːʈ]	6108328
böga	[b̥ɞ̀ːɣɐ], [b̥òːɣɐ], [b̥ʊ̀ːɣɐ], [b̥ʊ̀ːɐ]	3258664
Bögd	/²bøɡd/, [b̥ø̀͡ʷɡ̊d̥]	6246519
böl	/bʏːl/	305706
bör	/bɞːr/	212493
bøgel	/²bøːɣe̞ɽ/	6374186
bøtj	[b̥ʏ̀ʷːt͡ɕ], [bø̀ʷːt͡ɕ]	6367896
bȯckästugu	/bɞkɛˈstʉːɣʉ/	6357690
bɑrgar	/²bɑrɡɐr/, /²bɑrjɐr/, /²bɔrjɐr/	6807463
da	/doː/, /dɒː/, /dɑː/	37536
daan	/²ˈdɒːɳˌɒː/	34271
dadd	/dædː/, /ded/	6467468
dahn	[dɑ̀ːɳ]	3531992
dala	/²dɑːɽɐ/, gmq-bot, /²dɑːɽɑˑn/, gmq-bot, /²dɑːɽɑɳ/	1270648
damm	[d̥ámː], [d̥ǽmː], gmq-bot, [d̥æ̀mː]	828485
dartit	/²däʈːiːt/	6942039
das	/daːs/, /dæːs/	33495
daver	/dæːʋe̞r/, gmq-bot, /dæːʋre̞/	2074473
davär	/²dæːʋe̞r/, gmq-bot, /²dæːʋre̞/	7099963
dawhlen	/²dæʊ̯ɽ̊leɳ/, gmq-bot, /²dafleɳ/, gmq-bot, /²daʊ̯l̥eɳ/, gmq-bot, /²dɞkʂɭɞm/, gmq-bot, /²dæʊ̯ɽ̊lom/, gmq-bot, /²daʊ̯l̥om/, gmq-bot, /²deʊ̯ʂɭʊ/	6347184
der	/deːr/, gmq-bot, /dɛr(ː)/, /der(ː)/	33494
dikj	[d̥ìːt͡ɕʰ]	6107640
dill	/del/, /dɪl/	61598
dillfang	[ˈdeɪlːˌfɒŋː]	6296275
dobb	/dɞbː/, /dobː/, /dʊbː/	6515346
dobb’	/²dɞbː/, /²dobː/, /²dʊbː/	6959701
domt	/d(o)um(b̥)t/	6515321
doosk	/²dʊsk/, /²dɔsk/	6463900
doter	[d̥ùːte̞ɾ], [d̥òʊ̯ːte̞ɾ]	60246
draga	[d̥rɑ̀ːɣɐ], [d̥rɒ̀ːɣɐ], [d̥ròːɣɐ]	198521
dragas	[d̥rɑ̀ːɣɐs], [d̥rɒ̀ːɣɐs], [d̥ròːɣɐs]	2661753
druup	/²drʉːp/, /²dræɵ̯ːp/, /²dreʊ̯ːp/, /²drɞɵ̯ːp/	6305741
drämn	[d̥rɛ̀mn], [d̥rɛ̀mːe̞ɳ]	6305409
drävi	/ˈdrɛvɪ̯/, , /ˈdrɛvɪ/, /ˈdrevɪ/	6463840
duf	/²dʉːv/, [d̥ÿ̀ːʋ]	3701821
dur	/dʉːr/	258242
durut	/²dʉːrʉt/	6960810
dus	/dʉːs/	235251
duur	/²dʉːr/	40307
däll	/dælː/	6418678
dänn	[d̥ɛ́nː]	6379062
dänna	[d̥ɛ́nːɐ], [d̥ɛ́ɳːɐ], [d̥áɳːɐ], [d̥én], [d̥ɪ́n(ɐ)]	6296307
dårg	/dɑrɡ/, /dɑre/, /dorɡ/, /dori/, gmq-bot, /²dɑrɡ/, /²dorɡ/	6242888
döij	/døyː/, [d̥ǿɪ̯ː], [d̥úɪ̯ː]	6067384
döld	/dɞɖː/	7238928
döva	/²dɞːʋɐ/	2658679
døn	/dʏːɳ/	6931332
dør	/døːr/, [tʏːɾ], [tɞːɾ]	628531
düm	, /²diːm/	6278984
dȧs	/dæːs/, /däːs/	6530017
dȧsk		6965920
dȯtt	[d̥ɞ́tʰː]	6467842
edeli	/²eːˌdelɪ/	7238841
eig	/èɪ̯ːɣ/, gmq-bot, /éɪ̯ːɣ/	6582003
eik	[e̞ɪ̯ːkʲ]	221361
