word	ipa	pageid
crasì	/kraˈsi/	6408573
grafo	/ˈɡra.fo/	816966
prakalò	/parakaˈlo/	6406265
γράφω	/ˈɡra.fo/	238380
πρακαλώ	/prakaˈlo/	6402756
