word	ipa	pageid
boh	/bɔh/	187812
durui	/du.ɣuɪ/	2880223
hoak	/ho(w)aʔ/	8507215
mereah	/mə.ɣəah/	8507153
plai	/p(ə)laɪ/	3602661
prong	/pɣɔŋ/	73790
sa	/sa/	42720
sang	/saŋ/	7630
sau	/saʊ/	193909
