word	ipa	pageid
cnákinj	/cna˦kĩh˧/	7495832
huéj	[βːeh˧˥]	7495807
nga	/ŋɡa˧/	1653160
nnaanj	/nːə̃h˧˨/	7495836
quij	/kːih˧/	7495781
