word	ipa	pageid
laposety	/lapusetʲ/	3314546
lasosy	/lasusʲ/	3316650
loa	[ˈlu.a]	50365
maky	/makʲ/	7378985
malagasy	/malaɡasʲ/	4429219
manoratra	/mə ˈnu ɽə ʈɽə/	1648288
miaraka	/ˈmerək/	3326670
misoratra	/mi ˈsu ɽə ʈɽə/	1783251
mitao	[mi ˈto]	4602363
mitsoka	/miˈt͡sukạ/	7015845
mividy	[mi.ˈvi.di]	1786040
mozika	/muzikʲḁ/	3318143
nify	/ˈnifʲ/	3316351
orona	/uɾunḁ/	4588624
osy	/usʲ/	7044745
paoma	/paumạ/	766251
rambo	/ɾam͡bʷ/	4816728
sahona	/ˈsa.un/	7604271
saina	[ˈsajn]	3319127
saosisy	/sosisʲ/	3318804
sendrasendra	/ˌsendʐˈsendʐ/	3314657
sifaka	[ˈsifakə̥]	4101810
sivy	/sivʲ/	1783523
soratana	/su ˈɽa tə nə/	1783233
tanana	[ˈta.nən], mg, [tə.ˈna.nə]	1783513
tao	[to]	1996
taratra	/taɾat͡ʂḁ/	7408561
tiorka	/tiuɾkạ/	7194937
tondro haambo	/tunɖ͡ʐu ʔaam͡bʷ/	3314716
tsidiala	/tsidialạ/	7418479
vaovao	/ˌvawˈvaw/, mg, /ˌvoˈvo/	3318969
vary	/varʲ/	41480
vehivavy	/ve.hiˈva.vi/, [ve.hiˈvavʲ]	3319604
vidy	[ˈvi.di]	1786037
vivy	/vivʲ/	3316653
voanio	/vʷanʲu̥/	6174719
voanjo	/vʷaⁿd͡zʷ/	3315438
voasoratra	/vuə ˈsu ɽə ʈɽə/	1783262
voay	/vuaj/	7417729
volo	/ˈvulʷ/	38592
voromahery	/vuɾumaʔeɾʲ/	7407880
vorombato	/vuɾum͡batʷ/	3319285
vorombola	/vuɾum͡bulḁ/	3318215
vorona	/vuɾunḁ/	280550
vozona	/vuzunạ/	4830640
zanabolana	/zanabulanḁ/	3318798
zavamaneno	/zavamanenʷ/	3317680
